label,attribute_name,attribute_value,attribute_count
pickup,lane_status,none,143
suv,lane_status,none,50
truck,has_rider,false,155
suv,isolated,hard,200
pickup,truncated,false,76
pickup,vehicle_direction,[u'top'],10
car,vehicle_direction,[u'side_right'],247
driver,truncated,false,17
pedestrian,is_empty,false,38
car,vehicle_direction,[u'head'- u'side_left'],129
pickup,towing,true,47
flatbed_trailer_truck,occlusion,partially_occluded,100
flatbed_trailer_truck,shoulder_vehicle,false,100
car,clear,clear,1007
car,shoulder_vehicle,false,1824
pickup,lane_status,ego_lane,50
trailer,occlusion,no_occlusion,71
suv,vehicle_status,parked,200
car,truncated,false,1727
face,isolated,no,6
trailer,clear,clear,59
flatbed_trailer_truck,abnormal_trailer,false,100
car,vehicle_direction,[u'back'- u'side_left'],20
suv,vehicle_direction,[u'top'],53
truck,vehicle_direction,[u'head'- u'side_right'],50
pickup,occlusion,mostly_occluded,17
truck,occlusion,barely_see,1
flatbed_trailer_truck,truncated,false,50
trailer,isolated,no,59
suv,occlusion,mostly_occluded,226
suv,towing,false,465
truck,vehicle_direction,[u'side_right'],68
trailer,trailer_linking,NA,13
van,emergency_vehicles,none,100
van,shoulder_vehicle,false,100
face,clear,unclear,2
flatbed_trailer_truck,towing,false,100
face,occlusion,no_occlusion,4
van,door_open,false,100
car,vehicle_direction,[u'head'- u'side_right'],6
van,clear,clear,45
car,vehicle_direction,[u'side_left'- u'back'],16
flatbed_trailer_truck,has_rider,false,100
pedestrian,truncated,false,200
suv,vehicle_direction,[u'side_right'],159
pickup,has_rider,true,7
van,vehicle_direction,[u'side_right'],6
face,truncated,false,6
trailer,truncated,false,31
truck,vehicle_direction,[u'back'],64
flatbed_trailer_truck,isolated,no,50
truck,clear,clear,207
flatbed_trailer_truck,vehicle_status,parked,50
car,isolated,no,670
pickup,vehicle_direction,[u'back'],3
van,vehicle_direction,[u'head'],25
suv,vehicle_direction,[u'side_left'],51
trailer,vehicle_direction,[u'back'],3
car,vehicle_direction,[u'back'- u'side_right'],2
trailer,vehicle_direction,[u'side_right'- u'back'],12
suv,emergency_vehicles,none,465
suv,door_open,false,465
